Date,engine,dir,net
2024-10-02,NEW,L,-755.0
2024-10-02,NEW,L,-755.0
2024-10-02,NEW,L,-755.0
2024-10-03,OLD,L,-705.0
2024-10-03,NEW,L,-705.0
2024-10-03,NEW,L,557.5
2024-10-03,NEW,L,357.5
2024-10-03,NEW,L,445.0
2024-10-08,OLD,L,720.0
2024-10-08,NEW,L,720.0
2024-10-09,OLD,L,95.0
2024-10-09,NEW,L,95.0
2024-10-11,OLD,L,-30.0
2024-10-11,NEW,L,-30.0
2024-10-15,OLD,S,1270.0
2024-10-15,OLD,S,1245.0
2024-10-15,NEW,S,1270.0
2024-10-15,NEW,S,1245.0
2024-10-18,OLD,L,-55.0
2024-10-18,NEW,L,-55.0
2024-10-25,OLD,S,1682.5
2024-10-25,NEW,S,2445.0
