Date,variant,net,stop_pts
2022-07-28,adr30,1432.5,19.5
2022-07-28,atr,1432.5,18.0
2022-07-28,hybMax,1432.5,19.5
2022-07-28,hybMax15,1432.5,27.0
2022-07-28,expand,1432.5,19.5
2022-07-28,adr30,495.0,19.5
2022-07-28,atr,495.0,12.25
2022-07-28,hybMax,495.0,19.5
2022-07-28,hybMax15,495.0,19.5
2022-07-28,expand,495.0,25.0
2022-08-02,adr30,-992.5,19.5
2022-08-02,atr,-1155.0,22.75
2022-08-02,hybMax,-1155.0,22.75
2022-08-02,hybMax15,-992.5,34.0
2022-08-02,expand,-992.5,19.5
2022-08-04,adr30,-980.0,19.25
2022-08-04,atr,-1080.0,21.25
2022-08-04,hybMax,-1080.0,21.25
2022-08-04,hybMax15,-392.5,31.75
2022-08-04,expand,-980.0,19.25
2022-08-24,adr30,-342.5,13.75
2022-08-24,atr,-480.0,9.25
2022-08-24,hybMax,-342.5,13.75
2022-08-24,hybMax15,-342.5,14.0
2022-08-24,expand,-342.5,13.75
2022-08-30,adr30,-5.0,16.5
2022-08-30,atr,-5.0,31.0
2022-08-30,hybMax,-5.0,31.0
2022-08-30,hybMax15,-5.0,46.5
2022-08-30,expand,-5.0,23.5
2022-08-30,adr30,-842.5,16.5
2022-08-30,atr,-980.0,19.25
2022-08-30,hybMax,-980.0,19.25
2022-08-30,hybMax15,-730.0,29.0
2022-08-30,expand,-730.0,24.5
2022-09-07,adr30,1695.0,20.75
2022-09-07,atr,1695.0,19.5
2022-09-07,hybMax,1695.0,20.75
2022-09-07,hybMax15,1695.0,29.25
2022-09-07,expand,1695.0,20.75
2022-09-08,adr30,-880.0,22.0
2022-09-08,atr,-880.0,23.5
2022-09-08,hybMax,-880.0,23.5
2022-09-08,hybMax15,-880.0,35.25
2022-09-08,expand,-880.0,22.0
2022-09-14,adr30,-555.0,20.0
2022-09-14,atr,-555.0,20.0
2022-09-14,hybMax,-555.0,20.0
2022-09-14,hybMax15,-555.0,30.25
2022-09-14,expand,-555.0,20.0
2022-09-21,adr30,-980.0,19.25
2022-09-21,atr,-980.0,19.25
2022-09-21,hybMax,-980.0,19.25
2022-09-21,hybMax15,-1467.5,29.0
2022-09-21,expand,-980.0,19.25
2022-09-28,adr30,1970.0,18.75
2022-09-28,atr,1970.0,30.75
2022-09-28,hybMax,1970.0,30.75
2022-09-28,hybMax15,1970.0,46.0
2022-09-28,expand,1970.0,18.75
2022-09-28,adr30,945.0,18.75
2022-09-28,atr,945.0,17.75
2022-09-28,hybMax,945.0,18.75
2022-09-28,hybMax15,945.0,26.75
2022-09-28,expand,945.0,21.25
2022-09-28,adr30,1082.5,18.75
2022-09-28,atr,1082.5,15.75
2022-09-28,hybMax,1082.5,18.75
2022-09-28,hybMax15,1082.5,23.5
2022-09-28,expand,1082.5,22.75
2022-10-03,adr30,1245.0,20.75
2022-10-03,atr,1245.0,23.75
2022-10-03,hybMax,1245.0,23.75
2022-10-03,hybMax15,1245.0,35.5
2022-10-03,expand,1245.0,20.75
2022-10-03,adr30,995.0,20.75
2022-10-03,atr,995.0,17.25
2022-10-03,hybMax,995.0,20.75
2022-10-03,hybMax15,995.0,25.75
2022-10-03,expand,995.0,20.75
2022-10-06,adr30,-1130.0,22.25
2022-10-06,atr,-942.5,18.5
2022-10-06,hybMax,-1130.0,22.25
2022-10-06,hybMax15,-1005.0,27.75
2022-10-06,expand,-1130.0,22.25
2022-10-12,adr30,370.0,23.75
2022-10-12,atr,370.0,31.25
2022-10-12,hybMax,370.0,31.25
2022-10-12,hybMax15,370.0,47.0
2022-10-12,expand,370.0,23.75
2022-10-20,adr30,-1267.5,25.0
2022-10-20,atr,-1455.0,28.75
2022-10-20,hybMax,-1455.0,28.75
2022-10-20,hybMax15,-2167.5,43.0
2022-10-20,expand,-1267.5,25.0
2022-10-20,adr30,382.5,25.0
2022-10-20,atr,382.5,20.25
2022-10-20,hybMax,382.5,25.0
2022-10-20,hybMax15,382.5,30.25
2022-10-20,expand,382.5,25.0
2022-10-21,adr30,-1305.0,25.75
2022-10-21,atr,-1642.5,32.5
2022-10-21,hybMax,-1642.5,32.5
2022-10-21,hybMax15,-2455.0,48.75
2022-10-21,expand,-1305.0,25.75
2022-10-27,adr30,2070.0,27.25
2022-10-27,atr,2070.0,13.0
2022-10-27,hybMax,2070.0,27.25
2022-10-27,hybMax15,2070.0,27.25
2022-10-27,expand,2070.0,27.25
2022-11-02,adr30,-1155.0,22.75
2022-11-02,atr,-730.0,14.25
2022-11-02,hybMax,-1155.0,22.75
2022-11-02,hybMax15,-1155.0,22.75
2022-11-02,expand,-1155.0,22.75
2022-11-08,adr30,-1180.0,23.25
2022-11-08,atr,-705.0,13.75
2022-11-08,hybMax,-1180.0,23.25
2022-11-08,hybMax15,-1180.0,23.25
2022-11-08,expand,-1180.0,23.25
2022-11-11,adr30,-1205.0,23.75
2022-11-11,atr,970.0,30.25
2022-11-11,hybMax,970.0,30.25
2022-11-11,hybMax15,970.0,45.25
2022-11-11,expand,-1205.0,23.75
2022-11-16,adr30,-80.0,23.25
2022-11-16,atr,-80.0,22.0
2022-11-16,hybMax,-80.0,23.25
2022-11-16,hybMax15,-80.0,33.0
2022-11-16,expand,-80.0,23.25
2022-11-16,adr30,-30.0,23.25
2022-11-16,atr,-30.0,17.75
2022-11-16,hybMax,-30.0,23.25
2022-11-16,hybMax15,-30.0,26.5
2022-11-16,expand,-30.0,23.25
2022-11-23,adr30,-880.0,17.25
2022-11-23,atr,-717.5,14.0
2022-11-23,hybMax,-880.0,17.25
2022-11-23,hybMax15,-1067.5,21.0
2022-11-23,expand,-880.0,17.25
2022-11-30,adr30,-567.5,11.0
2022-11-30,atr,-1092.5,21.5
2022-11-30,hybMax,-1092.5,21.5
2022-11-30,hybMax15,-1630.0,32.25
2022-11-30,expand,-567.5,11.0
2022-12-05,adr30,1032.5,14.75
2022-12-05,atr,1032.5,15.0
2022-12-05,hybMax,1032.5,15.0
2022-12-05,hybMax15,1032.5,22.75
2022-12-05,expand,1032.5,14.75
