level,lo,hi,grid,band,side,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr,2,150,m50,none,none,549,0.6357012750455373,0.6466302367941712,0.0,632,0.8528481012658228,0.8591772151898734,0.0
cr,2,150,m50,b30,none,549,0.6357012750455373,0.6466302367941712,0.0,632,0.8528481012658228,0.8591772151898734,0.0
cr,2,150,m25,b20,none,549,0.6338797814207651,0.644808743169399,0.0,632,0.8512658227848101,0.8591772151898734,0.0
cr,2,150,m50,b20,none,549,0.6338797814207651,0.644808743169399,0.0,632,0.8528481012658228,0.8607594936708861,0.0
cr,2,120,m25,none,none,549,0.6247723132969034,0.6411657559198543,0.0,632,0.8275316455696202,0.8386075949367089,0.0
cr,2,120,m25,b30,none,549,0.6247723132969034,0.6411657559198543,0.0,632,0.8275316455696202,0.8386075949367089,0.0
cr,2,120,m50,none,none,549,0.6247723132969034,0.6411657559198543,0.0,632,0.8275316455696202,0.8386075949367089,0.0
cr,2,120,m50,b30,none,549,0.6247723132969034,0.6411657559198543,0.0,632,0.8275316455696202,0.8386075949367089,0.0
cr,2,120,m25,b20,none,549,0.6229508196721312,0.639344262295082,0.0,632,0.8275316455696202,0.8386075949367089,0.0
cr,2,120,m50,b20,none,549,0.6229508196721312,0.639344262295082,0.0,632,0.8275316455696202,0.8386075949367089,0.0
cr,1,180,m100,none,none,549,0.6193078324225865,0.6211293260473588,0.0,632,0.7420886075949367,0.7436708860759493,0.0
cr,1,180,m100,b20,none,549,0.6193078324225865,0.6211293260473588,0.0,632,0.7420886075949367,0.745253164556962,0.0
cr,1,180,m100,b30,none,549,0.6193078324225865,0.6211293260473588,0.0,632,0.7420886075949367,0.7436708860759493,0.0
cr,2,180,m100,none,ge,549,0.6174863387978142,0.6174863387978142,0.0,632,0.7721518987341772,0.7737341772151899,0.0
cr,2,180,m100,b20,ge,549,0.6174863387978142,0.6174863387978142,0.0,632,0.7721518987341772,0.7753164556962026,0.0
cr,2,180,m100,b30,ge,549,0.6174863387978142,0.6174863387978142,0.0,632,0.7721518987341772,0.7737341772151899,0.0
cr,2,150,m25,none,ge,549,0.6138433515482696,0.6247723132969034,0.0,632,0.8417721518987342,0.8496835443037974,0.0
cr,2,150,m25,b30,ge,549,0.6138433515482696,0.6247723132969034,0.0,632,0.8417721518987342,0.8496835443037974,0.0
cr,2,150,m50,none,ge,549,0.6138433515482696,0.6247723132969034,0.0,632,0.8433544303797469,0.8496835443037974,0.0
cr,2,150,m50,b30,ge,549,0.6138433515482696,0.6247723132969034,0.0,632,0.8433544303797469,0.8496835443037974,0.0
cr,2,150,m100,none,none,549,0.6138433515482696,0.6193078324225865,0.0,632,0.7816455696202531,0.7848101265822784,0.0
cr,2,150,m100,b30,none,549,0.6138433515482696,0.6193078324225865,0.0,632,0.7816455696202531,0.7848101265822784,0.0
cr,2,150,m25,b20,ge,549,0.6120218579234973,0.6229508196721312,0.0,632,0.8417721518987342,0.8512658227848101,0.0
cr,2,150,m50,b20,ge,549,0.6120218579234973,0.6229508196721312,0.0,632,0.8433544303797469,0.8512658227848101,0.0
cr,2,150,m100,b20,none,549,0.6120218579234973,0.6174863387978142,0.0,632,0.7816455696202531,0.7863924050632911,0.0
cr,1,180,m50,none,none,549,0.6102003642987249,0.6193078324225865,0.0,632,0.7579113924050633,0.7626582278481012,0.0
