rule,book,removed,n_train,n_test,train_delta,test_delta,p_train,p_test,p_joint,p_bonf,top1_share_test,test_ex_april,test_ex_top1,n_april_skips,jaccard_vix25_test
skip_day_if_cr_p>3.0,fly,day,102,62,31808,34517,0.0286,0.0,5.253779708068484e-07,0.00020752429846870513,0.098,27741,31141,6,0.103
skip_day_if_cr_p>4.0,fly,day,65,45,17241,23737,0.16,0.0012,0.0018351389156998036,0.7248798717014224,0.104,18227,21264,5,0.097
skip_day_if_total_cr>3.0,ic,day,227,119,19076,4101,0.0712,0.2926,0.1014825285366065,1.0,0.792,-1813,851,7,0.15
skip_day_if_total_cr>3.0,fly,day,227,119,51869,55530,0.155,0.0,2.5853753116042138e-06,0.0010212232480836644,0.061,46418,52154,7,0.15
skip_day_if_total_cr>3.0,combined,day,227,119,70700,58677,0.0294,0.0002,7.669844832079596e-05,0.030295887086714407,0.106,42321,52473,7,0.15
skip_day_if_total_cr>4.0,fly,day,155,86,42077,36556,0.054,0.0016,0.0008948035770181278,0.3534474129221605,0.068,27444,34083,7,0.154
skip_day_if_total_cr>4.0,combined,day,155,86,45733,31637,0.0972,0.049,0.03022910842505883,1.0,0.17,15281,26248,7,0.154
skip_day_if_total_cr>5.0,fly,day,105,66,24307,32651,0.2668,0.0002,0.0005783396469832039,0.22844416055836553,0.076,23539,30178,7,0.149
skip_day_if_total_cr>5.0,combined,day,105,66,35502,27358,0.0718,0.0438,0.02126538375317728,1.0,0.197,11002,21969,7,0.149
skip_day_if_total_cr>6.0,fly,day,78,54,16862,26114,0.3584,0.001,0.0032018957382678776,1.0,0.095,17002,23641,7,0.143
skip_day_if_total_cr>6.0,combined,day,78,54,24789,23509,0.1482,0.0532,0.04606674270744966,1.0,0.229,7153,18120,7,0.143
band_p_0.5-2.5,ic,day,402,262,24030,5334,0.0918,0.3146,0.13124921275628584,1.0,0.609,-580,2084,7,0.088
band_p_0.5-2.5,fly,day,402,262,74949,55575,0.5766,0.119,0.25245240625338977,1.0,0.061,46463,52199,7,0.088
band_c_0.5-2.5,fly,day,447,317,62094,55425,0.9978,0.5464,0.8759184644205685,1.0,0.061,46756,52049,6,0.073
