date,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2025-06-26,openic_c,vix365,6112.09,53.4,6165.0,6190.0,0.1,settle,0.0,6.74,
2025-06-26,openic_c,straddle,6112.09,20.8,6135.0,6160.0,2.1,stop,5.75,-371.52,
2025-06-27,eodic_p,vix252,6141.02,64.2,6075.0,6050.0,0.1,settle,0.0,6.74,
2025-06-27,eodic_p,vix365,6141.02,53.3,6090.0,6065.0,0.25,settle,0.0,21.74,
2025-06-27,eodic_p,straddle,6141.02,22.0,6120.0,6095.0,1.15,settle,0.0,111.74,
2025-06-27,eodic_c,vix252,6141.02,64.2,6205.0,6230.0,0.15,settle,0.0,11.74,
2025-06-27,eodic_c,vix365,6141.02,53.3,6195.0,6220.0,0.4,settle,0.0,36.74,
2025-06-27,eodic_c,straddle,6141.02,22.0,6165.0,6190.0,5.2,stop,12.5,-736.52,
2025-06-27,openic_p,vix252,6150.7,64.2,6085.0,6060.0,0.05,settle,0.0,1.74,
2025-06-27,openic_p,vix365,6150.7,53.3,6095.0,6070.0,0.1,settle,0.0,6.74,
2025-06-27,openic_p,straddle,6150.7,22.0,6130.0,6105.0,0.45,settle,0.0,41.74,
2025-06-27,openic_c,vix252,6150.7,64.2,6215.0,6240.0,0.3,settle,0.0,26.74,
2025-06-27,openic_c,vix365,6150.7,53.3,6205.0,6230.0,0.7,settle,0.0,66.74,
2025-06-27,openic_c,straddle,6150.7,22.0,6175.0,6200.0,7.9,stop,8.45,-61.52,
2025-06-30,eodic_p,vix252,6173.07,63.5,6110.0,6085.0,0.15,settle,0.0,11.74,
2025-06-30,eodic_p,vix365,6173.07,52.7,6120.0,6095.0,0.3,settle,0.0,26.74,
2025-06-30,eodic_p,straddle,6173.07,24.8,6150.0,6125.0,1.25,settle,0.0,121.74,
2025-06-30,eodic_c,vix252,6173.07,63.5,6235.0,6260.0,0.8,settle,0.0,76.74,
2025-06-30,eodic_c,vix365,6173.07,52.7,6225.0,6250.0,1.9,settle,0.0,186.74,
2025-06-30,eodic_c,straddle,6173.07,24.8,6200.0,6225.0,7.6,stop,7.0,53.48,
2025-06-30,openic_p,vix252,6193.36,63.5,6130.0,6105.0,0.55,settle,0.0,51.74,
2025-06-30,openic_p,vix365,6193.36,52.7,6140.0,6115.0,0.8,settle,0.0,76.74,
2025-06-30,openic_p,straddle,6193.36,24.8,6170.0,6145.0,3.7,settle,0.0,366.74,
2025-06-30,openic_c,vix252,6193.36,63.5,6255.0,6280.0,0.05,settle,0.0,1.74,
2025-06-30,openic_c,vix365,6193.36,52.7,6245.0,6270.0,0.2,settle,0.0,16.74,
2025-06-30,openic_c,straddle,6193.36,24.8,6220.0,6245.0,1.6,settle,0.0,156.74,
2025-07-01,eodic_p,vix252,6204.95,65.4,6140.0,6115.0,1.0,settle,0.0,96.74,
2025-07-01,eodic_p,vix365,6204.95,54.3,6150.0,6125.0,1.5,settle,0.0,146.74,
2025-07-01,eodic_p,straddle,6204.95,24.6,6180.0,6155.0,5.1,settle,0.0,506.74,
2025-07-01,eodic_c,vix252,6204.95,65.4,6270.0,6295.0,0.0,settle,0.0,-3.26,
2025-07-01,eodic_c,vix365,6204.95,54.3,6260.0,6285.0,0.0,settle,0.0,-3.26,
2025-07-01,eodic_c,straddle,6204.95,24.6,6230.0,6255.0,0.55,settle,0.0,51.74,
2025-07-01,openic_p,vix252,6187.25,65.4,6120.0,6095.0,0.15,settle,0.0,11.74,
2025-07-01,openic_p,vix365,6187.25,54.3,6135.0,6110.0,0.25,settle,0.0,21.74,
2025-07-01,openic_p,straddle,6187.25,24.6,6165.0,6140.0,1.3,settle,0.0,126.74,
2025-07-01,openic_c,vix252,6187.25,65.4,6255.0,6280.0,0.0,settle,0.0,-3.26,
2025-07-01,openic_c,vix365,6187.25,54.3,6240.0,6265.0,0.2,settle,0.0,16.74,
2025-07-01,openic_c,straddle,6187.25,24.6,6210.0,6235.0,3.0,settle,0.0,296.74,
2025-07-02,eodic_p,vix252,6198.01,65.7,6130.0,6105.0,0.3,settle,0.0,26.74,
2025-07-02,eodic_p,vix365,6198.01,54.6,6145.0,6120.0,0.6,settle,0.0,56.74,
2025-07-02,eodic_p,straddle,6198.01,21.7,6175.0,6150.0,2.6,settle,0.0,256.74,
2025-07-02,eodic_c,vix252,6198.01,65.7,6265.0,6290.0,0.0,settle,0.0,-3.26,
2025-07-02,eodic_c,vix365,6198.01,54.6,6255.0,6280.0,0.0,settle,0.0,-3.26,
2025-07-02,eodic_c,straddle,6198.01,21.7,6220.0,6245.0,2.05,stop,4.8,-281.52,
2025-07-02,openic_p,vix252,6193.88,65.7,6130.0,6105.0,0.1,settle,0.0,6.74,
2025-07-02,openic_p,vix365,6193.88,54.6,6140.0,6115.0,0.25,settle,0.0,21.74,
